stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_IBNR
79657,,BOCHNIA,,49.9773231,20.4312843,,,,9
79665,,RZEZAWA,,49.9847569,20.5150182,,,,3261
79673,,JASIEŃ BRZESKI,,49.9869935,20.5580594,,,,3093
79806,,BRZESKO OKOCIM,,49.9866536,20.6105301,,,,3043
79830,,STERKOWIEC,,49.9943067,20.6803932,,,,3285
79848,,BIADOLINY,,50.0037427,20.7342987,,,,3033
80663,,BOGUMIŁOWICE,,50.0075409,20.8698984,,,,3041
80671,,TARNÓW MOŚCICE,,50.0064549,20.9252097,,,,3304
80630,,TARNÓW,,50.0052905,20.9744678,,,,220
81901,,NOWY SĄCZ,,49.6067228,20.7030718,,,,134
265357,,NOWY SĄCZ GORZKÓW,,49.5987060456719,20.7231368508392,,,,6665
82149,,NOWY SĄCZ JAMNICA,,49.586802,20.7442048,,,,3201
82131,,KAMIONKA WIELKA,,49.577996,20.7811239,,,,3106
81737,,MSZALNICA,,49.5929045,20.8286845,,,,3183
81687,,PTASZKOWA,,49.6033188,20.8817263,,,,3236
81679,,GRYBÓW,,49.6265381,20.9578755,,,,3085
81604,,STRÓŻE,,49.6541861,20.9767003,,,,195
81141,,WILCZYSKA,,49.6762717,20.9423269,,,,3327
81133,,JANKOWA,,49.6958068,20.934164,,,,3091
81125,,BOBOWA-MIASTO,,49.7078683,20.9385381,,,,3037
81091,,BOBOWA,,49.7165549,20.9575221,,,,3036
81083,,PŁAWNA,,49.7545594,20.950599,,,,3218
81067,,BOGONIOWICE CIĘŻKOWICE,,49.7983125,20.9765893,,,,3039
81059,,GROMNIK,,49.8341138,20.9611297,,,,3084
81042,,CHOJNIK,,49.8512942,20.9842001,,,,3051
81034,,SIEDLISKA KOŁO TUCHOWA,,49.8602394,21.018747,,,,3267
81026,,LUBASZOWA,,49.8647155,21.0359413,,,,3157
80986,,TUCHÓW,,49.8920076,21.0568675,,,,3309
80978,,ŁOWCZÓW,,49.9125119,21.0040118,,,,3162
